Latitude,Longitude (Decimal Degrees),Total Magnetic Field (nT),Corrected Total Magnetic Field (nT)
40.9787,-110.0619,93.9,170.1
40.9787,-110.0611,93.6,171.6
40.9787,-110.0606,94.2,171.4
40.9787,-110.0599,96.2,170.7
40.9787,-110.0594,98.2,171.6
40.9787,-110.0587,98.8,171.1
40.9787,-110.0582,97.6,170.9
40.9787,-110.0574,94.9,171.8
40.9787,-110.0569,91.3,171.7
40.9787,-110.0562,87.9,169.9
40.9787,-110.0557,86.2,169.1
40.9787,-110.0549,86.4,169.6
40.9787,-110.0545,87.7,169.6
40.9787,-110.0537,89.2,169.0
40.9787,-110.0532,89.8,167.8
40.9787,-110.0525,89.1,167.9
40.9787,-110.052,88.3,168.9
40.9787,-110.0512,88.3,168.7
40.9787,-110.0507,88.9,168.9
40.9787,-110.05,89.2,167.7
40.9787,-110.0495,88.7,167.3
40.9787,-110.0488,88.7,166.5
40.9787,-110.0483,90.4,167.1
40.9787,-110.0475,93.9,167.5
40.9787,-110.047,98.3,167.6
40.9787,-110.0463,102.7,165.8
40.9787,-110.0458,106.4,165.6
40.9787,-110.045,108.3,165.7
40.9787,-110.0446,108.9,166.7
40.9787,-110.0438,110.5,167.1
40.9787,-110.0433,112.8,165.9
40.9787,-110.0426,112.3,166.4
40.9788,-110.0421,108.7,166.0
40.9788,-110.0413,106.3,166.3
40.9788,-110.0408,107.4,166.3
40.9788,-110.0401,109.7,165.7
40.9788,-110.0396,111.1,165.0
40.9788,-110.0389,111.3,164.5
40.9788,-110.0384,110.5,163.8
40.9788,-110.0376,107.6,164.2
40.9788,-110.0371,102.4,165.9
40.9788,-110.0364,96.6,165.3
40.9788,-110.0359,92.5,164.9
40.9788,-110.0351,92.1,164.4
40.9788,-110.0347,95.1,164.0
40.9788,-110.0339,99.6,165.6
40.9788,-110.0334,103.7,165.4
40.9788,-110.0327,106.5,166.1
40.9788,-110.0322,107.9,165.5
40.9788,-110.0314,109.3,164.3
40.9788,-110.0309,111.1,164.9
40.9788,-110.0302,112.7,163.7
40.9788,-110.0297,113.7,164.0
40.9788,-110.029,113.4,165.0
40.9788,-110.0285,111.2,164.6
40.9788,-110.0277,107.9,163.7
40.9788,-110.0272,105.2,164.2
40.9788,-110.0265,104.4,164.2
40.9788,-110.026,107.8,164.8
40.9788,-110.0252,115.0,165.8
40.9788,-110.0248,121.3,164.9
40.9788,-110.024,122.8,165.3
40.9788,-110.0235,121.7,164.6
40.9788,-110.0228,120.6,165.0
40.9788,-110.0223,120.7,163.8
40.9788,-110.0215,120.8,164.3
40.9788,-110.021,117.8,164.0
40.9788,-110.0203,109.4,164.4
40.9788,-110.0198,97.4,162.2
40.9788,-110.0191,86.7,161.8
40.9788,-110.0186,80.9,162.4
40.9788,-110.0178,79.3,161.8
40.9788,-110.0173,79.0,161.6
40.9788,-110.0166,78.9,162.4
40.9788,-110.0161,78.8,160.7
40.9788,-110.0153,78.8,160.2
40.9788,-110.0149,80.4,160.6
40.9788,-110.0141,84.5,160.7
40.9788,-110.0136,89.4,160.1
40.9788,-110.0129,93.5,160.5
40.9788,-110.0124,97.1,159.9
40.9788,-110.0116,100.9,160.0
40.9788,-110.0111,105.1,160.1
40.9788,-110.0104,108.9,159.6
40.9788,-110.0099,111.2,160.4
40.9788,-110.0092,111.6,160.2
40.9788,-110.0087,111.1,159.9
40.9788,-110.0079,110.7,159.7
40.9788,-110.0074,109.7,160.3
40.9788,-110.0067,107.9,159.7
40.9788,-110.0062,107.1,159.2
40.9788,-110.0054,109.0,159.4
40.9788,-110.005,112.8,158.9
40.9788,-110.0042,116.0,159.0
40.9788,-110.0037,117.7,158.6
40.9788,-110.003,118.1,157.7
40.9788,-110.0025,117.9,158.0
40.9788,-110.0017,117.4,158.7
40.9788,-110.0012,116.9,158.8
40.9788,-110.0005,116.4,158.9
40.9788,-110.0,116.5,159.2
40.9374,-111.9058,123.1,25.0
40.9374,-111.9054,125.1,23.9
40.9374,-111.9049,127.5,23.8
40.9374,-111.9045,129.2,26.5
40.9374,-111.904,130.3,28.8
40.9374,-111.9036,130.8,30.6
40.9374,-111.9031,130.6,29.3
40.9374,-111.9027,129.4,29.0
40.9374,-111.9022,127.4,29.3
40.9374,-111.9018,124.8,29.1
40.9374,-111.9013,121.9,29.4
40.9374,-111.9009,119.0,29.1
40.9374,-111.9004,116.5,26.4
40.9374,-111.9,114.8,24.7
40.9374,-111.8995,114.0,27.2
40.9374,-111.8991,113.9,32.1
40.9374,-111.8986,114.4,35.7
40.9374,-111.8982,115.2,38.6
40.9374,-111.8977,116.1,39.9
40.9373,-111.8973,117.3,39.3
40.9373,-111.8968,118.5,38.8
40.9373,-111.8964,119.4,36.8
40.9373,-111.8959,120.0,36.7
40.9373,-111.8955,120.8,38.3
40.9373,-111.895,121.2,40.2
40.9373,-111.8946,121.1,40.3
40.9373,-111.8941,121.0,38.4
40.9373,-111.8937,121.4,36.5
40.9373,-111.8932,122.0,33.9
40.9373,-111.8928,121.9,32.7
40.9373,-111.8923,120.9,31.6
40.9373,-111.8919,119.7,32.1
40.9373,-111.8914,119.5,32.0
40.9373,-111.891,119.9,31.8
40.9373,-111.8905,119.7,30.9
40.9373,-111.8901,119.8,31.6
40.9373,-111.8896,121.6,30.7
40.9373,-111.8892,124.3,30.2
40.9373,-111.8887,126.7,28.5
40.9373,-111.8883,128.5,28.3
40.9373,-111.8878,129.8,26.6
40.9373,-111.8874,130.3,25.3
40.9373,-111.8869,130.3,25.4
40.9373,-111.8865,130.0,25.5
40.9373,-111.886,129.6,26.0
40.9373,-111.8856,128.9,27.4
40.9373,-111.8851,128.0,29.0
40.9373,-111.8847,127.1,31.5
40.9373,-111.8842,126.8,33.8
40.9373,-111.8838,126.7,33.0
40.9373,-111.8833,126.3,28.4
40.9373,-111.8829,126.3,25.3
40.9373,-111.8824,127.9,21.8
40.9373,-111.882,130.6,17.6
40.9373,-111.8815,134.0,14.3
40.9373,-111.8811,137.7,9.8
40.9373,-111.8806,141.3,6.5
40.9373,-111.8802,145.0,3.8
40.9373,-111.8797,149.0,-0.5
40.9373,-111.8793,150.6,-2.0
40.9373,-111.8788,149.3,-1.3
40.9373,-111.8784,148.4,0.1
40.9373,-111.8779,149.5,4.7
40.9373,-111.8775,150.5,12.2
40.9372,-111.877,150.5,22.8
40.9372,-111.8766,150.3,34.9
40.9372,-111.8761,149.5,42.3
40.9372,-111.8757,145.5,50.8
40.9372,-111.8752,137.9,59.0
40.9372,-111.8748,129.1,65.6
40.9372,-111.8743,121.1,69.0
40.9372,-111.8739,114.1,64.7
40.9372,-111.8734,107.1,55.1
40.9372,-111.873,98.2,45.8
40.9372,-111.8725,87.7,41.1
40.9372,-111.8721,80.4,35.3
40.9372,-111.8716,81.8,30.4
40.9372,-111.8712,92.1,29.6
40.9372,-111.8707,106.6,28.6
40.9372,-111.8703,119.7,28.9
40.9372,-111.8698,128.0,28.9
40.9372,-111.8694,135.4,24.4
40.9372,-111.8689,147.8,19.8
40.9372,-111.8685,160.8,16.3
40.9372,-111.868,164.6,14.8
40.9372,-111.8676,159.4,18.2
40.9372,-111.8671,151.3,21.9
40.9372,-111.8667,142.0,25.0
40.9372,-111.8662,130.8,22.4
40.9372,-111.8658,119.6,9.9
40.9372,-111.8653,111.8,-2.1
40.9372,-111.8649,108.2,-12.9
40.9372,-111.8644,105.6,-20.3
40.9372,-111.864,101.6,-22.8
40.9372,-111.8635,97.9,-24.1
40.9372,-111.8631,96.2,-22.2
40.9372,-111.8626,96.1,-19.8
40.9372,-111.8622,96.0,-18.9
40.9372,-111.8617,95.3,-16.8
40.9372,-111.8613,93.1,-16.3
40.9372,-111.8608,90.7,-15.4
40.9372,-111.8604,90.0,-14.0
40.9372,-111.8599,90.7,-15.9
40.9372,-111.8595,92.7,-19.7
40.9372,-111.859,97.0,-19.2
40.9372,-111.8586,103.1,-19.2
40.9371,-111.8581,107.8,-24.6
40.9371,-111.8577,108.9,-27.0
40.9371,-111.8572,107.6,-29.3
40.9371,-111.8568,107.0,-29.2
40.9371,-111.8563,108.7,-26.0
40.9371,-111.8559,109.4,-23.1
40.9371,-111.8554,105.9,-23.8
40.9371,-111.855,100.2,-25.2
40.9371,-111.8545,95.9,-26.2
40.9371,-111.8541,93.7,-27.5
40.9371,-111.8536,93.2,-26.4
40.9371,-111.8532,93.9,-26.0
40.9371,-111.8527,94.5,-28.4
40.9371,-111.8523,94.6,-32.5
40.9371,-111.8518,94.6,-35.1
40.9371,-111.8514,95.1,-36.7
40.9371,-111.8509,94.4,-35.3
40.9371,-111.8505,91.1,-31.3
40.9371,-111.85,86.1,-31.0
40.9371,-111.8496,81.4,-30.9
40.9371,-111.8491,77.7,-30.5
40.9371,-111.8487,74.3,-32.2
40.9371,-111.8482,70.7,-30.4
40.9371,-111.8478,67.0,-25.2
40.9371,-111.8473,65.1,-20.3
40.9371,-111.8469,67.8,-16.9
40.9371,-111.8464,74.9,-15.2
40.9371,-111.846,82.8,-19.2
40.9371,-111.8455,87.8,-21.5
40.9371,-111.8451,88.0,-23.3
40.9371,-111.8446,85.8,-20.7
40.9371,-111.8442,88.2,-17.0
40.9371,-111.8437,98.6,-16.9
40.9371,-111.8433,113.0,-19.5
40.9371,-111.8428,128.4,-23.8
40.9371,-111.8424,141.7,-27.7
40.9371,-111.8419,146.2,-30.5
40.9371,-111.8415,139.6,-32.3
40.9371,-111.841,129.0,-34.0
40.9371,-111.8406,122.2,-33.3
40.9371,-111.8401,120.1,-33.0
40.9371,-111.8397,119.7,-33.9
40.937,-111.8392,118.2,-35.0
40.937,-111.8388,115.3,-35.0
40.937,-111.8383,112.6,-35.6
40.937,-111.8379,111.1,-35.1
40.937,-111.8374,111.3,-36.1
40.937,-111.837,111.9,-38.2
40.937,-111.8365,111.7,-37.4
40.937,-111.8361,110.8,-41.8
40.937,-111.8355,109.1,-44.4
40.937,-111.8352,105.7,-44.9
40.937,-111.8346,101.3,-47.2
40.937,-111.8343,97.5,-44.1
40.937,-111.8337,94.5,-41.4
40.937,-111.8298,90.4,-4.9
40.937,-111.8292,84.7,6.1
40.937,-111.8289,78.5,11.5
40.937,-111.8283,75.1,15.9
40.937,-111.828,78.9,16.2
40.937,-111.8274,90.4,16.0
40.937,-111.8271,103.5,11.9
40.937,-111.8265,112.9,15.4
40.937,-111.8262,119.5,12.8
40.937,-111.8256,123.7,5.6
40.937,-111.8253,123.9,-0.8
40.937,-111.8247,119.7,-2.6
40.937,-111.8244,113.4,-0.9
40.937,-111.8238,105.8,-2.2
40.937,-111.8235,96.6,-8.5
40.937,-111.8229,86.2,-18.2
40.937,-111.8226,76.2,-23.2
40.937,-111.822,67.9,-18.3
40.937,-111.8217,63.0,-9.8
40.9369,-111.8211,62.1,-12.4
40.9369,-111.8208,63.7,-17.6
40.9369,-111.8202,65.6,-20.6
40.9369,-111.8199,67.0,-22.0
40.9369,-111.8193,68.2,-19.8
40.9369,-111.819,69.0,-23.0
40.9369,-111.8184,68.5,-33.3
40.9369,-111.8181,66.1,-44.1
40.9369,-111.8175,62.8,-49.0
40.9369,-111.8172,60.4,-54.3
40.9369,-111.8166,59.5,-63.5
40.9369,-111.8163,60.0,-74.4
40.9369,-111.8157,62.0,-80.7
40.9369,-111.8154,65.3,-82.3
40.9369,-111.8148,69.2,-82.3
40.9369,-111.8145,72.3,-81.8
40.9369,-111.8139,74.3,-79.7
40.9369,-111.8136,75.8,-77.1
40.9369,-111.813,77.7,-73.4
40.9369,-111.8127,80.3,-72.8
40.9369,-111.8121,82.5,-73.6
40.9369,-111.8118,84.1,-76.5
40.9369,-111.8112,85.7,-78.5
40.9369,-111.8109,87.6,-77.9
40.9369,-111.8103,89.2,-76.8
40.9369,-111.81,90.4,-69.9
40.9369,-111.8094,91.1,-69.5
40.9369,-111.8091,90.8,-66.5
40.9369,-111.8085,89.8,-69.9
40.9369,-111.8082,88.9,-68.4
40.9369,-111.8076,88.0,-71.4
40.9369,-111.8073,86.8,-74.0
40.9369,-111.8067,86.2,-70.0
40.9369,-111.8064,86.9,-66.3
40.9369,-111.8058,89.2,-64.0
40.9369,-111.8055,92.2,-63.0
40.9369,-111.8049,94.8,-63.4
40.9369,-111.8046,96.4,-63.8
40.9369,-111.804,97.4,-64.4
40.9369,-111.8037,98.8,-65.4
40.9368,-111.8031,101.0,-59.4
40.9368,-111.8028,102.5,-61.0
40.9368,-111.8022,102.2,-54.4
40.9368,-111.8019,100.3,-53.5
40.9368,-111.8013,97.6,-56.2
40.9368,-111.801,94.7,-52.2
40.9368,-111.8004,91.8,-54.1
40.9368,-111.8001,89.8,-51.2
40.9368,-111.7995,89.0,-49.3
40.9368,-111.7992,88.9,-45.1
40.9368,-111.7986,88.8,-43.3
40.9368,-111.7983,88.2,-45.2
40.9368,-111.7977,87.4,-47.2
40.9368,-111.7974,87.0,-55.4
40.9368,-111.7968,86.8,-49.8
40.9368,-111.7965,86.3,-48.0
40.9368,-111.7959,85.5,-42.7
40.9368,-111.7956,85.1,-38.5
40.9368,-111.795,86.2,-41.1
40.9368,-111.7947,88.8,-41.5
40.9368,-111.7941,92.4,-48.6
40.9368,-111.7938,95.7,-53.0
40.9368,-111.7932,98.0,-55.8
40.9368,-111.7929,99.1,-54.2
40.9368,-111.7923,99.6,-52.3
40.9368,-111.792,99.4,-49.8
40.9368,-111.7914,99.0,-52.3
40.9368,-111.7911,99.3,-56.5
40.9368,-111.7905,100.7,-60.4
40.9368,-111.7902,102.7,-63.8
40.9368,-111.7896,104.9,-63.2
40.9368,-111.7893,107.7,-60.3
40.9368,-111.7887,111.0,-55.4
40.9368,-111.7884,114.4,-53.0
40.9368,-111.7878,117.6,-52.7
40.9368,-111.7875,121.6,-56.0
40.9368,-111.7869,127.8,-59.3
40.9368,-111.7866,136.6,-62.3
40.9367,-111.786,145.9,-60.2
40.9367,-111.7857,152.5,-57.0
40.9367,-111.7851,153.2,-54.8
40.9412,-111.7852,73.9,-50.5
40.9412,-111.7849,77.7,-45.4
40.9411,-111.7844,82.3,-42.1
40.9411,-111.7841,87.4,-38.9
40.9411,-111.7837,92.9,-37.6
40.9411,-111.7834,97.3,-35.3
40.9411,-111.7829,99.7,-33.6
40.9411,-111.7826,100.4,-31.8
40.9411,-111.7822,100.1,-32.2
40.9411,-111.7819,99.1,-34.3
40.941,-111.7814,97.6,-37.9
40.941,-111.7811,95.8,-40.5
40.941,-111.7807,93.5,-43.7
40.941,-111.7804,91.0,-45.5
40.941,-111.7799,89.0,-47.0
40.941,-111.7796,87.9,-48.4
40.941,-111.7792,87.9,-50.3
40.941,-111.7789,89.2,-52.2
40.9409,-111.7784,92.0,-54.1
40.9409,-111.7781,96.3,-55.0
40.9409,-111.7777,101.0,-54.8
40.9409,-111.7774,105.6,-54.9
40.9409,-111.7769,110.0,-54.8
40.9409,-111.7766,114.6,-53.8
40.9409,-111.7762,119.0,-53.2
40.9409,-111.7759,122.3,-53.1
40.9408,-111.7754,124.5,-54.2
40.9408,-111.7751,126.9,-56.1
40.9408,-111.7746,130.5,-55.7
40.9408,-111.7743,134.7,-54.6
40.9408,-111.7739,138.5,-53.2
40.9408,-111.7736,140.7,-50.1
40.9408,-111.7731,140.5,-51.3
40.9408,-111.7728,139.9,-50.9
40.9407,-111.7724,141.0,-49.5
40.9407,-111.7721,143.1,-49.2
40.9407,-111.7716,144.5,-47.9
40.9407,-111.7713,144.8,-47.6
40.9407,-111.7709,144.3,-49.1
40.9407,-111.7706,143.7,-50.6
40.9407,-111.7701,143.5,-50.8
40.9407,-111.7698,143.8,-50.3
40.9406,-111.7694,144.0,-51.9
40.9406,-111.7691,144.5,-51.7
40.9406,-111.7686,145.4,-51.2
40.9406,-111.7683,145.8,-52.9
40.9406,-111.7679,145.1,-51.9
40.9406,-111.7676,143.8,-51.0
40.9406,-111.7671,142.3,-49.4
40.9406,-111.7668,140.7,-47.5
40.9405,-111.7664,138.1,-45.5
40.9405,-111.7661,133.4,-41.3
40.9405,-111.7656,126.9,-39.5
40.9405,-111.7653,120.6,-37.9
40.9405,-111.7649,116.3,-36.5
40.9405,-111.7646,114.2,-35.4
40.9405,-111.7641,114.7,-36.3
40.9405,-111.7638,117.2,-39.7
40.9404,-111.7634,120.3,-43.6
40.9404,-111.7631,122.7,-47.0
40.9404,-111.7626,125.0,-51.2
40.9404,-111.7623,128.8,-52.8
40.9404,-111.7619,134.7,-53.6
40.9404,-111.7616,140.1,-53.8
40.9404,-111.7611,141.2,-54.0
40.9404,-111.7608,138.2,-54.2
40.9403,-111.7604,134.2,-57.3
40.9403,-111.7601,131.2,-57.4
40.9403,-111.7596,128.2,-58.2
40.9403,-111.7593,123.3,-57.8
40.9403,-111.7589,115.7,-55.6
40.9403,-111.7586,107.4,-53.5
40.9403,-111.7581,102.4,-53.2
40.9403,-111.7578,101.8,-54.9
40.9402,-111.7574,104.0,-56.8
40.9402,-111.7571,108.1,-58.4
40.9402,-111.7566,115.8,-58.7
40.9402,-111.7563,126.4,-56.9
40.9402,-111.7559,135.8,-52.1
40.9402,-111.7556,141.0,-50.5
40.9402,-111.7551,142.4,-49.2
40.9402,-111.7548,141.5,-50.4
40.9401,-111.7544,140.5,-51.9
40.9401,-111.7541,141.1,-52.1
40.9401,-111.7536,142.0,-49.9
40.9401,-111.7533,140.5,-48.8
40.9401,-111.7528,136.3,-47.8
40.9401,-111.7525,131.1,-48.1
40.9401,-111.7521,126.5,-49.3
40.9401,-111.7518,124.1,-48.9
40.94,-111.7513,124.0,-49.0
40.94,-111.751,125.0,-50.0
40.94,-111.7506,126.8,-49.5
40.94,-111.7503,128.8,-49.3
40.94,-111.7498,130.2,-48.6
40.94,-111.7495,130.1,-47.8
40.94,-111.7491,128.2,-48.1
40.94,-111.7488,124.0,-49.7
40.9399,-111.7483,118.1,-50.0
40.9399,-111.748,112.7,-51.5
40.9399,-111.7476,109.4,-48.8
40.9399,-111.7473,107.7,-45.4
40.9399,-111.7468,106.0,-45.2
40.9399,-111.7465,104.3,-47.2
40.9399,-111.7461,101.8,-48.8
40.9398,-111.7458,96.9,-50.4
40.9398,-111.7453,89.9,-50.0
40.9398,-111.745,83.9,-48.2
40.9398,-111.7446,81.3,-48.6
40.9398,-111.7443,83.6,-46.7
40.9398,-111.7438,89.7,-46.8
40.9398,-111.7435,96.4,-47.6
40.9398,-111.7431,101.3,-47.2
40.9397,-111.7428,104.6,-47.0
40.9397,-111.7423,106.8,-46.2
40.9397,-111.742,106.5,-45.0
40.9397,-111.7416,104.0,-43.8
40.9397,-111.7413,103.2,-44.5
40.9397,-111.7408,107.8,-45.5
40.9397,-111.7405,113.1,-45.5
40.9397,-111.7401,111.3,-45.4
40.9396,-111.7398,101.8,-44.6
40.9396,-111.7393,90.0,-43.3
40.9396,-111.739,80.9,-43.4
40.9396,-111.7386,77.2,-43.5
40.9396,-111.7383,80.0,-46.9
40.9396,-111.7378,92.4,-46.4
40.9396,-111.7375,118.7,-43.3
40.9395,-111.7368,148.9,-40.7
40.9395,-111.7363,165.3,-42.2
40.9395,-111.736,163.7,-43.0
40.9395,-111.7356,153.9,-43.8
40.9395,-111.7353,142.3,-44.1
40.9395,-111.7348,131.5,-48.5
40.9395,-111.7345,122.8,-50.6
40.9395,-111.7341,115.9,-53.3
40.9394,-111.7338,111.2,-54.2
40.9394,-111.7333,110.5,-53.1
40.9394,-111.733,114.3,-54.8
40.9394,-111.7326,120.6,-58.2
40.9394,-111.7323,125.0,-61.0
40.9394,-111.7318,123.7,-63.1
40.9394,-111.7315,116.2,-63.0
40.9394,-111.7311,104.7,-62.1
40.9393,-111.7308,91.1,-60.5
40.9393,-111.7303,77.3,-61.2
40.9393,-111.73,67.0,-62.0
40.9393,-111.7295,62.6,-63.5
40.9393,-111.7292,63.8,-64.4
40.9393,-111.7288,68.2,-66.6
40.9393,-111.7285,74.6,-66.3
40.9393,-111.728,81.5,-65.9
40.9392,-111.7277,87.2,-65.4
40.9392,-111.7273,89.4,-64.6
40.9392,-111.727,88.1,-61.7
40.9392,-111.7265,86.2,-60.7
40.9392,-111.7262,85.9,-62.4
40.9392,-111.7258,88.4,-63.4
40.9392,-111.7255,93.6,-63.8
40.9392,-111.725,100.6,-63.6
40.9391,-111.7247,107.1,-63.1
40.9391,-111.7243,110.8,-62.5
40.9391,-111.724,110.9,-61.0
40.9391,-111.7235,108.5,-59.3
40.9391,-111.7232,104.8,-59.6
40.9391,-111.7228,100.7,-61.0
40.9391,-111.7225,96.6,-62.8
40.939,-111.722,92.7,-62.9
40.939,-111.7217,88.4,-64.6
40.939,-111.7213,82.5,-63.6
40.939,-111.721,75.4,-63.1
40.939,-111.7205,69.0,-61.4
40.939,-111.7202,64.0,-62.9
40.939,-111.7198,60.9,-63.0
40.939,-111.7195,61.3,-63.5
40.9389,-111.719,65.3,-64.0
40.9389,-111.7187,70.2,-64.7
40.9389,-111.7183,73.1,-63.8
40.9389,-111.718,74.4,-62.8
40.9389,-111.7175,75.4,-61.3
40.9389,-111.7172,76.3,-61.7
40.9389,-111.7168,76.5,-62.7
40.9389,-111.7165,76.3,-64.4
40.9388,-111.716,76.4,-65.4
40.9388,-111.7157,77.9,-64.7
40.9388,-111.7153,81.3,-64.0
40.9388,-111.715,85.3,-63.9
40.9388,-111.7145,88.5,-63.8
40.9388,-111.7142,90.5,-63.3
40.9388,-111.7138,91.9,-63.2
40.9388,-111.7135,94.0,-64.4
40.9387,-111.713,97.2,-65.0
40.9387,-111.7127,101.4,-64.4
40.9387,-111.7123,106.1,-65.2
40.9387,-111.712,110.7,-64.6
40.9387,-111.7115,114.4,-63.5
40.9387,-111.7112,116.8,-62.7
40.9387,-111.7108,117.4,-64.2
40.9387,-111.7105,116.5,-63.9
40.9386,-111.71,114.4,-64.4
40.9386,-111.7097,111.7,-65.5
40.9386,-111.7093,109.4,-65.0
40.9386,-111.709,108.8,-65.0
40.9386,-111.7085,111.1,-65.0
40.9386,-111.7082,115.8,-65.3
40.9386,-111.7078,121.8,-65.2
40.9386,-111.7074,129.0,-64.4
40.9385,-111.707,138.0,-63.6
40.9385,-111.7067,144.9,-61.9
40.9385,-111.7062,144.7,-63.1
40.9385,-111.7059,139.1,-61.6
40.9385,-111.7055,132.9,-63.8
40.9385,-111.7052,127.0,-65.1
40.9385,-111.7047,120.7,-65.0
40.9385,-111.7044,115.8,-66.7
40.9384,-111.704,113.6,-67.9
40.9384,-111.7037,113.0,-68.9
40.9384,-111.7032,112.2,-69.9
40.9384,-111.7029,110.5,-70.5
40.9384,-111.7025,107.7,-69.3
40.9384,-111.7022,102.9,-69.4
40.9384,-111.7017,95.8,-68.1
40.9383,-111.7014,87.2,-69.0
40.9383,-111.701,79.0,-67.9
40.9383,-111.7007,73.7,-68.4
40.9383,-111.7002,73.5,-69.1
40.9383,-111.6999,79.2,-68.9
40.9383,-111.6995,88.2,-67.9
40.9383,-111.6992,96.6,-66.8
40.9383,-111.6987,101.6,-71.0
40.9382,-111.6984,102.3,-70.3
40.9382,-111.698,99.4,-71.7
40.9382,-111.6977,94.3,-71.1
40.9382,-111.6972,89.0,-68.9
40.9382,-111.6969,85.5,-67.8
40.9382,-111.6965,84.1,-68.1
40.9382,-111.6962,83.1,-67.8
40.9382,-111.6957,81.5,-70.4
40.9381,-111.6954,79.7,-68.5
40.9381,-111.695,79.6,-69.4
40.9381,-111.6947,82.0,-70.8
40.9381,-111.6942,86.4,-70.9
40.9381,-111.6939,92.1,-71.7
40.9381,-111.6935,98.2,-69.6
40.9381,-111.6932,103.6,-67.3
40.9381,-111.6927,107.7,-67.5
40.938,-111.6924,110.0,-68.1
40.938,-111.692,109.7,-68.8
40.938,-111.6917,107.4,-69.4
40.938,-111.6912,105.9,-68.6
40.938,-111.6909,108.2,-67.4
40.938,-111.6905,114.4,-66.7
40.938,-111.6902,122.0,-65.7
40.938,-111.6897,126.4,-66.1
40.9379,-111.6894,123.7,-66.3
40.9379,-111.689,115.6,-66.5
40.9379,-111.6887,108.2,-66.8
40.9379,-111.6882,105.5,-67.0
40.9379,-111.6879,107.3,-67.7
40.9379,-111.6875,111.4,-66.6
40.9379,-111.6872,115.4,-67.0
40.9378,-111.6867,117.3,-65.6
40.9378,-111.6864,116.7,-66.1
40.9378,-111.686,115.8,-66.1
40.9378,-111.6857,116.3,-65.1
40.9378,-111.6852,117.5,-66.5
40.9378,-111.6849,118.3,-66.0
40.9378,-111.6844,119.4,-66.0
40.9378,-111.6841,121.0,-66.4
40.9377,-111.6837,121.7,-66.1
40.9377,-111.6834,121.6,-65.8
40.9377,-111.6829,121.5,-65.1
40.9377,-111.6826,121.7,-64.1
40.9377,-111.6822,122.2,-62.5
40.9377,-111.6819,122.0,-65.0
40.9377,-111.6814,120.6,-66.2
40.9377,-111.6811,119.4,-66.1
40.9376,-111.6807,119.6,-64.7
40.9376,-111.6804,120.6,-63.9
40.9376,-111.6799,122.0,-62.9
40.9376,-111.6796,123.0,-61.9
40.9376,-111.6792,123.0,-62.9
40.9376,-111.6789,122.5,-62.1
40.9376,-111.6784,121.9,-63.6
40.9376,-111.6781,120.3,-63.7
40.9375,-111.6777,117.4,-63.9
40.9375,-111.6774,113.7,-63.7
40.9375,-111.6769,109.5,-64.2
40.9375,-111.6766,105.2,-64.0
40.9375,-111.6762,102.3,-64.1
40.9375,-111.6759,101.1,-64.8
40.9375,-111.6754,101.0,-64.0
40.9375,-111.6751,101.3,-63.3
40.9374,-111.6747,101.3,-62.5
40.9374,-111.6744,101.3,-63.0
40.9374,-111.6739,102.7,-63.0
40.9374,-111.6736,106.9,-63.4
40.9374,-111.6732,113.2,-63.6
40.9374,-111.6729,117.5,-63.8
40.9374,-111.6724,115.3,-63.1
40.9373,-111.6721,107.5,-62.2
40.9373,-111.6717,101.2,-61.9
40.9373,-111.6714,100.7,-62.3
40.9373,-111.6709,104.6,-62.2
40.9373,-111.6706,109.9,-63.4
40.9373,-111.6702,114.9,-63.0
40.9373,-111.6699,119.5,-62.1
40.9373,-111.6694,124.6,-61.9
40.9372,-111.6691,130.1,-60.4
40.9372,-111.6687,132.5,-61.4
40.9372,-111.6684,128.9,-62.5
40.9372,-111.6679,120.8,-63.9
40.9372,-111.6676,113.6,-62.9
40.9372,-111.6672,112.2,-61.9
40.9372,-111.6669,117.4,-61.5
40.9372,-111.6664,125.3,-61.7
40.9371,-111.6661,130.8,-63.3
40.9371,-111.6657,131.6,-64.0
40.9371,-111.6654,129.8,-65.3
40.9371,-111.6649,128.6,-64.6
40.9371,-111.6646,128.8,-64.1
40.9371,-111.6642,128.9,-63.8
40.9371,-111.6639,128.2,-63.6
40.9371,-111.6634,127.4,-64.8
40.937,-111.6631,126.3,-65.8
40.937,-111.6627,122.7,-65.2
40.937,-111.6624,115.0,-63.6
40.937,-111.6619,104.9,-62.4
40.937,-111.6616,95.2,-61.7
40.937,-111.6611,87.3,-60.8
40.937,-111.6608,81.1,-61.5
40.9369,-111.6604,75.6,-63.1
40.9369,-111.6601,70.6,-64.5
40.9369,-111.6596,67.5,-65.1
40.9369,-111.6593,67.4,-64.8
40.9369,-111.6589,71.0,-64.2
40.9369,-111.6586,77.4,-63.8
40.9369,-111.6581,84.3,-64.1
40.9369,-111.6578,90.3,-63.4
40.9368,-111.6574,94.5,-63.2
40.9368,-111.6571,97.2,-62.3
40.9368,-111.6566,99.3,-61.6
40.9368,-111.6563,101.3,-63.0
40.9368,-111.6559,102.5,-62.8
40.9368,-111.6556,101.3,-63.0
40.9368,-111.6551,97.1,-63.1
40.9368,-111.6548,90.9,-63.0
40.9367,-111.6544,84.3,-61.8
40.9367,-111.654,78.8,-61.0
40.9368,-111.6535,74.9,-60.9
40.9368,-111.6532,72.9,-60.8
40.9368,-111.6527,73.2,-62.3
