X,Y,Measurement
-9999.9,IPKA,27.2
-9999.9,IPKA,26.4
-9999.9,IPKA,22.5
-9999.9,IPKA,29.9
-9999.9,IPKA,25.9
-9999.9,IPKA,21.9
-9999.9,IPKA,24.5
-9999.9,IPKA,22.3
-9999.9,IPKA,27.2
-9999.9,IPKA,30.2
-9999.9,IPKA,33.5
-9999.9,IPKA,22.6
-9999.9,IPKA,21.6
-9999.9,IPKA,24.0
-9999.9,IPKA,22.6
-9999.9,IPKA,25.8
-9999.9,IPKA,25.5
-9999.9,IPKA,28.5
-9999.9,IPKA,26.2
-9999.9,IPKA,20.9
-9999.9,IPKA,23.2
-9999.9,IPKA,23.0
-9999.9,IPKA,26.0
-9999.9,IPKA,20.6
-9999.9,IPKA,19.9
-9999.9,IPKA,21.6
-9999.9,IPKA,21.1
-9999.9,IPKA,21.8
-9999.9,IPKA,22.5
-9999.9,IPKA,22.7
-9999.9,IPKA,22.0
-9999.9,IPKA,22.0
-9999.9,IPKA,18.1
-9999.9,IPKA,18.8
-9999.9,IPKA,14.8
-9999.9,IPKA,18.0
-9999.9,IPKA,23.1
-9999.9,IPKA,18.5
-9999.9,IPKA,18.4
-9999.9,IPKA,18.4
-9999.9,IPKA,17.9
-9999.9,IPKA,20.6
-9999.9,IPKA,18.5
-9999.9,IPKA,16.3
-9999.9,IPKA,18.9
-9999.9,IPKA,21.1
-9999.9,IPKA,22.3
-9999.9,IPKA,21.8
-9999.9,IPKA,21.6
-9999.9,IPKA,20.6
-9999.9,IPKA,20.1
-9999.9,IPKA,19.8
-9999.9,IPKA,17.2
-9999.9,IPKA,20.6
-9999.9,IPKA,20.1
-9999.9,IPKA,19.6
-9999.9,IPKA,20.6
-9999.9,IPKA,19.3
-9999.9,IPKA,22.0
-9999.9,IPKA,26.1
-9999.9,IPKA,22.4
-9999.9,IPKA,26.4
-9999.9,IPKA,21.6
-9999.9,IPKA,23.5
-9999.9,IPKA,22.8
-9999.9,IPKA,24.1
-9999.9,IPKA,28.7
-9999.9,IPKA,27.9
-9999.9,IPKA,26.8
-9999.9,IPKA,28.5
-9999.9,IPKA,32.7
-9999.9,IPKA,31.0
-9999.9,IPKA,32.5
-9999.9,IPKA,35.2
-9999.9,IPKA,34.6
-9999.9,IPKA,35.9
-9999.9,IPKA,38.6
-9999.9,IPKA,38.0
-9999.9,IPKA,34.8
-9999.9,IPKA,40.9
-9999.9,IPKA,42.8
-9999.9,IPKA,41.5
-9999.9,IPKA,39.8
-9999.9,IPKA,44.0
-9999.9,IPKA,43.9
-9999.9,IPKA,44.1
-9999.9,IPKA,48.1
-9999.9,IPKA,49.8
-9999.9,IPKA,48.2
-9999.9,QA,50.7
-9999.9,QA,52.9
-9999.9,QA,51.1
-9999.9,QA,53.3
-9999.9,QA,59.0
-9999.9,QA,56.9
-9999.9,QA,54.2
-9999.9,QA,61.2
-9999.9,QA,63.9
-9999.9,QA,62.3
-9999.9,QA,67.8
-9999.9,QA,65.8
-9999.9,QA,67.8
-9999.9,QA,68.5
-9999.9,QA,69.7
-9999.9,QA,72.7
-9999.9,QA,72.1
-9999.9,QA,73.6
-9999.9,QA,76.8
-9999.9,QA,78.8
-9999.9,QA,76.4
-9999.9,QA,81.4
-9999.9,QA,79.2
-9999.9,QA,82.2
-9999.9,QA,82.3
-9999.9,QA,81.1
-9999.9,QA,88.2
-9999.9,QA,89.2
-9999.9,QA,84.4
-9999.9,QA,89.9
-9999.9,QA,89.3
-9999.9,QA,90.1
-9999.9,QA,89.8
-9999.9,QA,88.9
-9999.9,QA,92.0
-9999.9,QA,89.2
-9999.9,QA,92.0
-9999.9,QA,94.4
-9999.9,QA,93.2
-9999.9,QA,95.4
-9999.9,QA,92.9
-9999.9,QA,95.7
-9999.9,QA,95.7
-9999.9,QA,92.4
-9999.9,QA,95.6
-9999.9,QA,92.0
-9999.9,QA,91.7
-9999.9,QA,96.7
-9999.9,QA,96.7
-9999.9,QA,95.7
-9999.9,QA,91.9
-9999.9,QA,94.2
-9999.9,QA,96.7
-9999.9,QA,87.4
-9999.9,QA,92.5
-9999.9,QA,96.3
-9999.9,QA,89.8
-9999.9,QA,87.8
-9999.9,QA,86.5
-9999.9,QA,92.2
-9999.9,QA,90.3
-9999.9,QA,84.9
-9999.9,QA,82.4
-9999.9,QA,86.2
-9999.9,QA,83.9
-9999.9,QA,86.2
-9999.9,QA,81.9
-9999.9,QA,80.9
-9999.9,QA,75.7
-9999.9,QA,77.5
-9999.9,QA,71.2
-9999.9,QA,72.7
-9999.9,QA,76.7
-9999.9,QA,62.7
-9999.9,QA,72.4
-9999.9,QA,61.3
-9999.9,QA,58.3
-9999.9,QA,66.3
-9999.9,QA,60.7
-9999.9,QA,59.4
-9999.9,QA,53.7
-9999.9,QA,51.1
-9999.9,QA,46.6
-9999.9,QA,50.3
-9999.9,QA,38.1
-9999.9,QA,45.0
-9999.9,QA,39.2
-9999.9,QA,37.0
-9999.9,QA,37.2
-9999.9,QA,26.8
-9999.9,QA,24.1
-9999.9,QA,22.2
-9999.9,QA,23.5
-9999.9,QA,20.4
-9999.9,QA,16.0
-9999.9,TRM,12.9
-9999.9,TRM,4.4
-9999.9,TRM,3.3
-9999.9,TRM,6.8
-9999.9,TRM,-1.5
-9999.9,TRM,-7.4
-9999.9,TRM,-9.9
-9999.9,TRM,-16.2
-9999.9,TRM,-14.0
-9999.9,TRM,-11.5
-9999.9,TRM,-20.6
-9999.9,TRM,-28.2
-9999.9,TRM,-32.4
-9999.9,TRM,-31.9
-9999.9,TRM,-34.1
-9999.9,TRM,-36.8
-9999.9,TRM,-42.1
-9999.9,TRM,-42.2
-9999.9,TRM,-53.2
-9999.9,TRM,-56.4
-9999.9,TRM,-51.2
-9999.9,TRM,-53.0
-9999.9,TRM,-60.3
-9999.9,QA,-69.8
-9999.9,QA,-70.7
-9999.9,QA,-78.1
-9999.9,QA,-76.9
-9999.9,QA,-76.8
-9999.9,QA,-86.3
-9999.9,QA,-85.0
-9999.9,QA,-93.4
-9999.9,QA,-98.9
-9999.9,QA,-100.3
-9999.9,QA,-102.7
-9999.9,QA,-102.3
-9999.9,QA,-108.4
-9999.9,QA,-113.4
-9999.9,QA,-116.9
-9999.9,QA,-120.3
-9999.9,QA,-123.3
-9999.9,QA,-122.9
-9999.9,QA,-127.6
-9999.9,QA,-132.8
-9999.9,QA,-132.6
-9999.9,QA,-126.2
-9999.9,QA,-128.5
-9999.9,QA,-134.9
-9999.9,QA,-137.0
-9999.9,QA,-139.6
-9999.9,QA,-140.4
-9999.9,QA,-139.2
-9999.9,QA,-141.5
-9999.9,QA,-141.4
-9999.9,QA,-148.4
-9999.9,QA,-148.5
-9999.9,QA,-144.3
-9999.9,QA,-150.9
-9999.9,QA,-145.8
-9999.9,QA,-156.6
-9999.9,TRM,-155.9
-9999.9,TRM,-158.6
-9999.9,TRM,-152.6
-9999.9,TRM,-151.4
-9999.9,TRM,-154.0
-9999.9,TRM,-162.5
-9999.9,TRM,-160.5
-9999.9,TRM,-160.8
-9999.9,TRM,-165.6
-9999.9,TRM,-158.9
-9999.9,TRM,-158.1
-9999.9,TRM,-167.4
-9999.9,TRM,-166.3
-9999.9,TRM,-170.1
-9999.9,TRM,-165.7
-9999.9,TRM,-171.1
-9999.9,TRM,-166.1
-9999.9,TRM,-169.9
-9999.9,TRM,-168.7
-9999.9,TRM,-168.4
-9999.9,TRM,-169.0
-9999.9,TRM,-168.5
-9999.9,TRM,-176.9
-9999.9,TRM,-173.5
-9999.9,TRM,-173.6
-9999.9,TRM,-174.8
-9999.9,TRM,-177.6
-9999.9,TRM,-170.4
-9999.9,TRS,-174.7
-9999.9,TRS,-171.0
-9999.9,TRS,-171.8
-9999.9,TRS,-176.8
-9999.9,TRS,-173.7
-9999.9,TRS,-177.7
-9999.9,TRS,-176.7
-9999.9,TRS,-178.2
-9999.9,TRS,-177.7
-9999.9,TRS,-182.5
-9999.9,TRS,-180.8
-9999.9,TRS,-178.2
-9999.9,TRS,-181.0
-9999.9,TRS,-182.0
-9999.9,TRS,-177.3
-9999.9,TRS,-179.3
-9999.9,TRS,-176.7
-9999.9,TRS,-179.2
-9999.9,TRS,-177.8
-9999.9,TRS,-174.3
-9999.9,TRS,-188.6
-9999.9,TRS,-184.1
-9999.9,TRS,-182.9
-9999.9,TRS,-178.2
-9999.9,TRS,-179.9
-9999.9,TRS,-178.2
-9999.9,TRS,-184.7
-9999.9,TRS,-183.0
-9999.9,TRS,-188.1
-9999.9,TRS,-181.6
-9999.9,TRS,-181.4
-9999.9,TRS,-185.6
-9999.9,TRS,-185.3
-9999.9,TRS,-184.2
-9999.9,TRS,-183.1
-9999.9,TRS,-182.4
-9999.9,TRS,-182.4
-9999.9,TRS,-181.7
-9999.9,TRS,-180.2
-9999.9,TRS,-186.0
-9999.9,TRS,-179.7
-9999.9,TRS,-180.8
-9999.9,TRS,-176.3
-9999.9,TRS,-178.9
-9999.9,TRS,-181.0
-9999.9,TRS,-183.9
-9999.9,TRS,-181.8
-9999.9,TRS,-178.6
-9999.9,TRS,-179.1
-9999.9,TRS,-182.1
-9999.9,TRS,-179.6
-9999.9,TRS,-183.3
-9999.9,TRS,-177.9
-9999.9,TRS,-182.9
-9999.9,TRS,-185.9
-9999.9,TRS,-178.5
-9999.9,TRS,-178.3
-9999.9,TRS,-173.7
-9999.9,TRS,-181.7
-9999.9,TRS,-179.8
-9999.9,TRS,-182.8
-9999.9,TRS,-179.1
-9999.9,TRS,-179.6
-9999.9,TRS,-185.0
-9999.9,TRS,-183.2
-9999.9,QA,-182.5
-9999.9,QA,-188.5
-9999.9,QA,-178.6
-9999.9,QA,-182.1
-9999.9,QA,-182.5
-9999.9,QA,-180.2
-9999.9,QA,-179.2
-9999.9,QA,-180.2
-9999.9,QA,-179.1
-9999.9,QA,-181.0
-9999.9,QA,-184.4
-9999.9,QA,-181.7
-9999.9,QA,-177.1
-9999.9,QA,-182.8
-9999.9,QA,-180.1
-9999.9,QA,-177.4
-9999.9,QA,-176.4
-9999.9,QA,-175.9
-9999.9,QA,-172.5
-9999.9,QA,-178.1
-9999.9,QA,-176.9
-9999.9,QA,-185.1
-9999.9,QA,-180.1
-9999.9,QA,-174.4
-9999.9,QA,-176.6
-9999.9,QA,-177.4
-9999.9,QA,-171.9
-9999.9,QA,-174.5
-9999.9,QA,-172.0
-9999.9,QA,-170.9
-9999.9,QA,-173.1
-9999.9,QA,-170.1
-9999.9,QA,-175.1
-9999.9,QA,-181.0
-9999.9,QA,-171.3
-9999.9,QA,-172.8
-9999.9,QA,-169.1
-9999.9,QA,-165.8
-9999.9,QA,-169.9
-9999.9,QA,-171.6
-9999.9,QA,-164.7
-9999.9,QA,-169.6
-9999.9,QA,-172.6
-9999.9,QA,-172.2
-9999.9,QA,-172.1
-9999.9,QA,-165.2
-9999.9,QA,-164.2
-9999.9,QA,-170.6
-9999.9,QA,-165.1
-9999.9,QA,-168.9
-9999.9,QA,-163.4
-9999.9,QA,-173.1
-9999.9,QA,-174.2
-9999.9,QA,-162.9
-9999.9,QA,-162.4
-9999.9,QA,-165.7
-9999.9,QA,-169.3
-9999.9,QA,-166.7
-9999.9,QA,-168.1
-9999.9,QA,-162.4
-9999.9,QA,-162.6
-9999.9,QA,-169.0
-9999.9,QA,-162.4
-9999.9,QA,-159.6
-9999.9,QA,-160.8
-9999.9,QA,-163.9
-9999.9,QA,-156.8
-9999.9,QA,-161.4
-9999.9,TRS,-161.7
-9999.9,TRS,-159.8
-9999.9,TRS,-156.2
-9999.9,TRS,-158.5
-9999.9,TRS,-157.1
-9999.9,TRS,-151.6
-9999.9,TRS,-156.3
-9999.9,TRS,-158.9
-9999.9,TRS,-158.9
-9999.9,TRS,-154.7
-9999.9,TRS,-151.3
-9999.9,TRS,-153.9
-9999.9,TRS,-146.0
-9999.9,TRS,-148.1
-9999.9,TRS,-155.1
-9999.9,TRS,-149.6
-9999.9,TRS,-151.4
-9999.9,TRS,-147.8
-9999.9,TRS,-154.4
-9999.9,TRS,-155.2
-9999.9,TRS,-152.4
-9999.9,TRS,-142.0
-9999.9,TRS,-147.6
-9999.9,TRS,-153.9
-9999.9,TRS,-153.7
-9999.9,TRS,-149.8
-9999.9,TRS,-148.9
-9999.9,TRS,-149.9
-9999.9,TRS,-150.7
-9999.9,TRS,-144.3
