lat,long,corrected_magnetic
37.0258,-113.2326,101.0
37.0258,-113.233,100.3
37.0259,-113.2335,102.7
37.0259,-113.234,97.9
37.0259,-113.2345,101.6
37.0259,-113.2349,101.4
37.0259,-113.2354,101.7
37.0259,-113.2359,102.7
37.026,-113.2364,101.9
37.026,-113.2368,102.8
37.026,-113.2373,96.6
37.026,-113.2378,103.5
37.026,-113.2383,102.5
37.026,-113.2387,97.9
37.0261,-113.2392,101.7
37.0261,-113.2397,103.3
37.0261,-113.2401,100.6
37.0261,-113.2406,100.7
37.0261,-113.2411,102.2
37.0261,-113.2416,96.4
37.0262,-113.242,103.2
37.0262,-113.2425,97.2
37.0262,-113.243,101.6
37.0262,-113.2435,103.9
37.0262,-113.2439,90.9
37.0262,-113.2444,101.4
37.0263,-113.2449,95.9
37.0263,-113.2454,98.9
37.0263,-113.2458,107.0
37.0263,-113.2463,103.7
37.0263,-113.2468,102.9
37.0263,-113.2473,104.6
37.0264,-113.2477,101.1
37.0264,-113.2482,103.7
37.0264,-113.2487,96.7
37.0264,-113.2492,97.1
37.0264,-113.2496,100.8
37.0264,-113.2501,98.4
37.0265,-113.2506,98.0
37.0265,-113.251,103.2
37.0265,-113.2515,104.7
37.0265,-113.252,99.3
37.0265,-113.2525,100.3
37.0266,-113.2529,103.2
37.0266,-113.2534,99.6
37.0266,-113.2539,100.6
37.0266,-113.2544,102.9
37.0266,-113.2548,102.2
37.0266,-113.2553,105.7
37.0266,-113.2558,99.3
37.0267,-113.2563,99.9
37.0267,-113.2567,103.9
37.0267,-113.2572,99.3
37.0267,-113.2577,103.2
37.0267,-113.2582,101.9
37.0268,-113.2586,100.4
37.0268,-113.2591,102.7
37.0268,-113.2596,101.8
37.0268,-113.26,103.3
37.0268,-113.2605,102.1
37.0268,-113.261,103.1
37.0269,-113.2615,105.6
37.0269,-113.2619,106.5
37.0269,-113.2624,108.5
37.0269,-113.2629,109.5
37.0269,-113.2634,108.3
37.0269,-113.2638,110.1
37.027,-113.2643,98.5
37.027,-113.2648,109.0
37.027,-113.2653,107.3
37.027,-113.2657,100.1
37.027,-113.2662,99.3
37.027,-113.2667,108.8
37.0271,-113.2672,110.5
37.0271,-113.2676,113.1
37.0271,-113.2681,106.8
37.0271,-113.2686,113.3
37.0271,-113.2691,113.5
37.0271,-113.2695,106.3
37.0272,-113.27,110.1
37.0272,-113.2705,109.2
37.0272,-113.2709,113.4
37.0272,-113.2714,117.5
37.0272,-113.2719,114.3
37.0272,-113.2724,113.1
37.0273,-113.2728,111.1
37.0273,-113.2733,108.1
37.0273,-113.2738,111.6
37.0273,-113.2743,112.4
37.0273,-113.2747,114.7
37.0273,-113.2752,105.3
37.0274,-113.2757,111.7
37.0274,-113.2762,114.1
37.0274,-113.2766,111.1
37.0274,-113.2771,118.3
37.0274,-113.2776,118.8
37.0274,-113.2781,112.3
37.0275,-113.2785,109.8
37.0275,-113.279,115.7
37.0275,-113.2795,119.8
37.0275,-113.2799,115.9
37.0275,-113.2804,107.6
37.0275,-113.2809,110.1
37.0276,-113.2814,109.4
37.0276,-113.2818,114.1
37.0276,-113.2823,112.9
37.0276,-113.2828,108.6
37.0276,-113.2833,107.2
37.0276,-113.2837,114.7
37.0277,-113.2842,115.0
37.0277,-113.2847,117.1
37.0277,-113.2852,111.3
37.0277,-113.2856,115.3
37.0277,-113.2861,115.6
37.0277,-113.2866,116.8
37.0278,-113.2871,104.6
37.0278,-113.2875,110.2
37.0278,-113.288,109.3
37.0278,-113.2885,112.2
37.0278,-113.289,117.6
37.0279,-113.2894,108.6
37.0279,-113.2899,109.5
37.0279,-113.2904,109.8
37.0279,-113.2908,113.6
37.0279,-113.2913,109.4
37.0279,-113.2918,110.4
37.028,-113.2923,110.6
37.028,-113.2927,114.1
