lat,long,corrected_magnetic
38.0269,-112.3308,67.8
38.0269,-112.3312,79.7
38.0269,-112.3315,90.4
38.0269,-112.3319,105.1
38.0269,-112.3323,122.0
38.0269,-112.3327,144.5
38.0269,-112.3331,170.9
38.0269,-112.3335,201.4
38.0269,-112.3338,228.1
38.0269,-112.3342,250.8
38.0268,-112.3346,267.2
38.0268,-112.335,275.2
38.0268,-112.3354,282.6
38.0268,-112.3357,289.6
38.0268,-112.3361,299.0
38.0268,-112.3365,312.4
38.0268,-112.3369,318.6
38.0268,-112.3373,331.7
38.0268,-112.3376,342.1
38.0268,-112.338,340.9
38.0268,-112.3384,344.3
38.0268,-112.3388,358.4
38.0268,-112.3392,401.2
38.0268,-112.3395,468.8
38.0268,-112.3399,541.0
38.0268,-112.3403,584.7
38.0268,-112.3407,572.0
38.0268,-112.3411,531.6
38.0268,-112.3414,482.8
38.0268,-112.3418,435.0
38.0268,-112.3422,396.3
38.0268,-112.3426,364.1
38.0268,-112.343,321.7
38.0268,-112.3433,289.5
38.0268,-112.3437,250.5
38.0268,-112.3441,218.2
38.0268,-112.3445,190.4
38.0268,-112.3449,154.1
38.0268,-112.3452,131.1
38.0268,-112.3456,112.2
38.0268,-112.346,92.2
38.0268,-112.3464,79.3
38.0268,-112.3468,72.1
38.0268,-112.3472,65.8
38.0268,-112.3475,57.0
38.0268,-112.3479,55.6
38.0268,-112.3483,61.6
38.0268,-112.3487,65.0
38.0268,-112.3491,79.0
38.0268,-112.3494,97.4
38.0268,-112.3498,118.2
38.0268,-112.3502,143.6
38.0268,-112.3506,185.6
38.0268,-112.351,228.1
38.0268,-112.3513,283.0
38.0268,-112.3517,338.2
38.0268,-112.3521,402.9
38.0268,-112.3525,485.6
38.0267,-112.353,569.6
38.0267,-112.3536,661.9
38.0267,-112.3541,721.2
38.0267,-112.3547,726.9
38.0267,-112.3553,708.2
38.0267,-112.3558,667.7
38.0267,-112.3564,632.6
38.0267,-112.3569,603.6
38.0266,-112.3575,581.5
38.0266,-112.358,568.0
38.0266,-112.3586,568.0
38.0266,-112.3591,571.8
38.0266,-112.3597,590.9
38.0266,-112.3603,609.7
38.0266,-112.3608,619.8
38.0265,-112.3614,618.7
38.0265,-112.3619,596.5
38.0265,-112.3625,571.1
38.0265,-112.363,530.4
38.0265,-112.3636,483.1
38.0265,-112.3641,442.5
38.0265,-112.3647,395.3
38.0264,-112.3652,361.4
38.0264,-112.3658,330.3
38.0264,-112.3664,295.3
38.0264,-112.3669,271.1
38.0264,-112.3675,242.4
38.0264,-112.368,215.5
38.0264,-112.3686,202.5
38.0263,-112.3691,179.2
38.0263,-112.3697,158.8
38.0263,-112.3702,137.6
38.0263,-112.3708,115.9
38.0263,-112.3714,109.5
38.0263,-112.3719,109.5
38.0263,-112.3725,108.9
38.0263,-112.373,98.9
38.0263,-112.6372,-258.0
38.0263,-112.6374,-247.1
38.0263,-112.6376,-242.5
38.0264,-112.6378,-228.6
38.0264,-112.638,-217.9
38.0264,-112.6382,-205.9
38.0264,-112.6384,-198.7
38.0265,-112.6386,-194.6
38.0265,-112.6388,-196.8
38.0265,-112.639,-204.9
38.0266,-112.6392,-213.9
38.0266,-112.6394,-225.7
38.0266,-112.6396,-238.4
38.0266,-112.6399,-244.8
38.0267,-112.6401,-252.5
38.0267,-112.6403,-249.6
38.0267,-112.6405,-244.8
38.0268,-112.6407,-243.2
38.0268,-112.6409,-239.6
